share_layer,sharing_weight,task,metric,percentage_rate
Share first layer,0.4,emotion_predict,Recall,0.6455
Share first layer,0.4,emotion_predict,F1 Score,0.6985
Share first layer,0.4,cause_predict,Precision,0.6998
Share first layer,0.4,cause_predict,Recall,0.427
Share first layer,0.4,cause_predict,F1 Score,0.525
Share first layer,0.4,pair_predict,Precision,0.5525
Share first layer,0.4,pair_predict,Recall,0.4955
Share first layer,0.4,pair_predict,F1 Score,0.5206
Share first layer,0.5,emotion_predict,Precision,0.7666
Share first layer,0.5,emotion_predict,Recall,0.6536
Share first layer,0.5,emotion_predict,F1 Score,0.7048
Share first layer,0.5,cause_predict,Precision,0.7063
Share first layer,0.5,cause_predict,Recall,0.4571
Share first layer,0.5,cause_predict,F1 Score,0.5511
Share first layer,0.5,pair_predict,Precision,0.5668
Share first layer,0.5,pair_predict,Recall,0.4866
Share first layer,0.5,pair_predict,F1 Score,0.5226
Share first layer,0.6,emotion_predict,Precision,0.732
Share first layer,0.6,emotion_predict,Recall,0.6759
Share first layer,0.6,emotion_predict,F1 Score,0.7021
Share first layer,0.6,cause_predict,Precision,0.6871
Share first layer,0.6,cause_predict,Recall,0.476
Share first layer,0.6,cause_predict,F1 Score,0.5576
Share first layer,0.6,pair_predict,Precision,0.5499
Share first layer,0.6,pair_predict,Recall,0.4971
Share first layer,0.6,pair_predict,F1 Score,0.5201
Share first layer,0.7,emotion_predict,Precision,0.7571
Share first layer,0.7,emotion_predict,Recall,0.6652
Share first layer,0.7,emotion_predict,F1 Score,0.7069
Share first layer,0.7,cause_predict,Precision,0.6974
Share first layer,0.7,cause_predict,Recall,0.4658
Share first layer,0.7,cause_predict,F1 Score,0.5551
Share first layer,0.7,pair_predict,Precision,0.5484
Share first layer,0.7,pair_predict,Recall,0.4993
Share first layer,0.7,pair_predict,F1 Score,0.5198
Share first layer,0.8,emotion_predict,Precision,0.741
Share first layer,0.8,emotion_predict,Recall,0.6902
Share first layer,0.8,emotion_predict,F1 Score,0.7142
Share first layer,0.8,cause_predict,Precision,0.6804
Share first layer,0.8,cause_predict,Recall,0.4525
Share first layer,0.8,cause_predict,F1 Score,0.05387
Share first layer,0.8,pair_predict,Precision,0.5492
Share first layer,0.8,pair_predict,Recall,0.4901
Share first layer,0.8,pair_predict,F1 Score,0.5162
Share first layer,0.9,emotion_predict,Precision,0.7674
Share first layer,0.9,emotion_predict,Recall,0.6306
Share first layer,0.9,emotion_predict,F1 Score,0.6888
Share first layer,0.9,cause_predict,Precision,0.6761
Share first layer,0.9,cause_predict,Recall,0.4734
Share first layer,0.9,cause_predict,F1 Score,0.5517
Share first layer,0.9,pair_predict,Precision,0.5367
Share first layer,0.9,pair_predict,Recall,0.5045
Share first layer,0.9,pair_predict,F1 Score,0.518
Share first layer,0.25,emotion_predict,Precision,0.7551
Share first layer,0.25,emotion_predict,Recall,0.6614
Share first layer,0.25,emotion_predict,F1 Score,0.7031
Share first layer,0.25,cause_predict,Precision,0.6915
Share first layer,0.25,cause_predict,Recall,0.4895
Share first layer,0.25,cause_predict,F1 Score,0.5685
Share first layer,0.25,pair_predict,Precision,0.5643
Share first layer,0.25,pair_predict,Recall,0.4856
Share first layer,0.25,pair_predict,F1 Score,0.5205
Share first layer,0.25,emotion_predict,Precision,0.7638
Share first layer,0.25,emotion_predict,Recall,0.6369
Share first layer,0.25,emotion_predict,F1 Score,0.6914
Share first layer,0.25,cause_predict,Precision,0.6958
Share first layer,0.25,cause_predict,Recall,0.4274
Share first layer,0.25,cause_predict,F1 Score,0.5266
Share first layer,0.25,pair_predict,Precision,0.5713
Share first layer,0.25,pair_predict,Recall,0.4796
Share first layer,0.25,pair_predict,F1 Score,0.5197
Share first layer,0.75,emotion_predict,Precision,0.7702
Share first layer,0.75,emotion_predict,Recall,0.655
Share first layer,0.75,emotion_predict,F1 Score,0.7071
Share first layer,0.75,cause_predict,Precision,0.701
Share first layer,0.75,cause_predict,Recall,0.4413
Share first layer,0.75,cause_predict,F1 Score,0.5398
Share first layer,0.75,pair_predict,Precision,0.5693
Share first layer,0.75,pair_predict,Recall,0.4903
Share first layer,0.75,pair_predict,F1 Score,0.5257
Share first layer,0.75,emotion_predict,Precision,0.7518
Share first layer,0.75,emotion_predict,Recall,0.6526
Share first layer,0.75,emotion_predict,F1 Score,0.6971
Share first layer,0.75,cause_predict,Precision,0.7159
Share first layer,0.75,cause_predict,Recall,0.4297
Share first layer,0.75,cause_predict,F1 Score,0.534
Share first layer,0.75,pair_predict,Precision,0.5599
Share first layer,0.75,pair_predict,Recall,0.4865
Share first layer,0.75,pair_predict,F1 Score,0.5188
